Design
Parameter,Units,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7
Battery Capacity,kWh,727.4851913973049,1097.5947969323408,727.5931295539315,878.2315884387317,1133.687269547196,823.4698556634806,1116.8245138788193,1112.5376407817052
Solar Capacity,kWp,1142.646192184001,1038.1126189362033,1208.994708994709,1190.0440925944488,1020.6628777221315,1128.8962971782357,1045.597696759599,1083.3267753248297
Grid Con. Capacity,kW,854.3786060930371
Objective
Objective Components,Value ($)
Total,33726257.7013727
Elec. Price,11290452.812550224
Carbon Cost,4318980.737064416
Grid Ex. Cost,7.32599308624534e-09
Grid Cap. Cost,1641118.9058703752
Battery Cost,7617423.986193511
Solar Cost,8858281.259694159
Reduced Scenarios
Scenario no.,Prob,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7
0,0.134,"(8, 2016)","(19, 2016)","(8, 2013)","(0, 2017)","(58, 2014)","(4, 2014)","(25, 2014)","(25, 2016)"
1,0.11700000000000005,"(8, 2013)","(19, 2017)","(8, 2017)","(0, 2016)","(58, 2016)","(4, 2013)","(25, 2017)","(25, 2016)"
2,0.09100000000000003,"(8, 2015)","(19, 2012)","(8, 2013)","(0, 2012)","(58, 2012)","(4, 2015)","(25, 2014)","(25, 2016)"
3,0.12800000000000006,"(8, 2016)","(19, 2016)","(8, 2017)","(0, 2016)","(58, 2013)","(4, 2012)","(25, 2014)","(25, 2013)"
4,0.138,"(8, 2014)","(19, 2016)","(8, 2016)","(0, 2013)","(58, 2012)","(4, 2013)","(25, 2017)","(25, 2012)"
5,0.069,"(8, 2016)","(19, 2017)","(8, 2017)","(0, 2016)","(58, 2012)","(4, 2016)","(25, 2017)","(25, 2013)"
6,0.07700000000000001,"(8, 2014)","(19, 2014)","(8, 2013)","(0, 2014)","(58, 2014)","(4, 2017)","(25, 2016)","(25, 2016)"
7,0.09600000000000003,"(8, 2012)","(19, 2017)","(8, 2015)","(0, 2015)","(58, 2014)","(4, 2012)","(25, 2017)","(25, 2013)"
8,0.08200000000000002,"(8, 2013)","(19, 2012)","(8, 2015)","(0, 2016)","(58, 2014)","(4, 2016)","(25, 2016)","(25, 2014)"
9,0.068,"(8, 2017)","(19, 2012)","(8, 2013)","(0, 2014)","(58, 2012)","(4, 2017)","(25, 2016)","(25, 2013)"
