Design
Parameter,Units,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
Battery Capacity,kWh,1143.0214315739254,1036.5351300385273,775.4565026156032,1099.4833249557355,1076.6903128051788,798.4719499303671,833.2900091636866,841.5554838747651,1019.3590351697571,872.4704052957818
Solar Capacity,kWp,587.7055762559424,558.8854449086223,599.3307992933242,571.2888536923382,560.0467216209415,624.4806127333652,624.6556365233652,597.7658887138275,522.9900085428815,593.9260588453104
Grid Con. Capacity,kW,2310.6931307443583
Objective
Objective Components,Value ($)
Total,43640424.83981429
Elec. Price,14079693.44985089
Carbon Cost,9150349.536817616
Grid Ex. Cost,88061.87374529321
Grid Cap. Cost,4438456.388638121
Battery Cost,7122250.189067496
Solar Cost,8761613.401694879
Reduced Scenarios
Scenario no.,Prob,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7,SB8,SB9
0,0.12500000000000006,"(102, 2012)","(25, 2012)","(8, 2015)","(58, 2012)","(58, 2017)","(104, 2014)","(4, 2016)","(0, 2013)","(40, 2016)","(0, 2015)"
1,0.11900000000000005,"(102, 2014)","(25, 2014)","(8, 2016)","(58, 2015)","(58, 2016)","(104, 2014)","(4, 2015)","(0, 2014)","(40, 2012)","(0, 2017)"
2,0.10400000000000004,"(102, 2015)","(25, 2012)","(8, 2014)","(58, 2016)","(58, 2016)","(104, 2017)","(4, 2013)","(0, 2014)","(40, 2016)","(0, 2012)"
3,0.08300000000000002,"(102, 2012)","(25, 2017)","(8, 2013)","(58, 2015)","(58, 2016)","(104, 2016)","(4, 2015)","(0, 2017)","(40, 2014)","(0, 2013)"
4,0.08500000000000002,"(102, 2014)","(25, 2014)","(8, 2016)","(58, 2014)","(58, 2015)","(104, 2016)","(4, 2012)","(0, 2013)","(40, 2016)","(0, 2012)"
5,0.133,"(102, 2012)","(25, 2012)","(8, 2013)","(58, 2013)","(58, 2014)","(104, 2012)","(4, 2015)","(0, 2017)","(40, 2016)","(0, 2012)"
6,0.061000000000000006,"(102, 2015)","(25, 2015)","(8, 2017)","(58, 2016)","(58, 2015)","(104, 2013)","(4, 2015)","(0, 2017)","(40, 2015)","(0, 2017)"
7,0.10600000000000004,"(102, 2017)","(25, 2013)","(8, 2013)","(58, 2017)","(58, 2015)","(104, 2013)","(4, 2014)","(0, 2013)","(40, 2015)","(0, 2017)"
8,0.09000000000000002,"(102, 2017)","(25, 2014)","(8, 2016)","(58, 2012)","(58, 2017)","(104, 2012)","(4, 2012)","(0, 2016)","(40, 2013)","(0, 2013)"
9,0.09400000000000003,"(102, 2012)","(25, 2014)","(8, 2015)","(58, 2012)","(58, 2016)","(104, 2015)","(4, 2012)","(0, 2013)","(40, 2017)","(0, 2017)"
