Design
Parameter,Units,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7
Battery Capacity,kWh,810.2593276348576,802.8863032118561,1120.4878365487004,785.3952821414829,1124.720210534263,1086.0662366526967,898.0887790511084,1219.2455079078686
Solar Capacity,kWp,1117.629700522391,1089.4615598815278,1024.0506653019447,1075.6345177664975,1043.8113327002218,1061.1126580163725,1166.810693766618,1053.4151977644024
Grid Con. Capacity,kW,810.8606054581223
Objective
Objective Components,Value ($)
Total,32464193.716825284
Elec. Price,10446350.770193312
Carbon Cost,3981239.057578347
Grid Ex. Cost,7.880661693585961e-09
Grid Cap. Cost,1557528.0796508098
Battery Cost,7847149.483682834
Solar Cost,8631926.325719977
Reduced Scenarios
Scenario no.,Prob,SB0,SB1,SB2,SB3,SB4,SB5,SB6,SB7
0,0.09600000000000003,"(4, 2017)","(4, 2016)","(58, 2013)","(104, 2013)","(58, 2015)","(19, 2013)","(0, 2015)","(102, 2015)"
1,0.08800000000000002,"(4, 2014)","(4, 2014)","(58, 2014)","(104, 2015)","(58, 2012)","(19, 2014)","(0, 2015)","(102, 2015)"
2,0.132,"(4, 2012)","(4, 2017)","(58, 2016)","(104, 2014)","(58, 2016)","(19, 2015)","(0, 2012)","(102, 2014)"
3,0.13,"(4, 2016)","(4, 2013)","(58, 2017)","(104, 2014)","(58, 2017)","(19, 2017)","(0, 2016)","(102, 2017)"
4,0.11100000000000004,"(4, 2016)","(4, 2014)","(58, 2017)","(104, 2012)","(58, 2012)","(19, 2017)","(0, 2016)","(102, 2014)"
5,0.12400000000000005,"(4, 2013)","(4, 2014)","(58, 2013)","(104, 2013)","(58, 2012)","(19, 2015)","(0, 2015)","(102, 2016)"
6,0.11400000000000005,"(4, 2016)","(4, 2015)","(58, 2015)","(104, 2013)","(58, 2014)","(19, 2014)","(0, 2015)","(102, 2017)"
7,0.07500000000000001,"(4, 2013)","(4, 2016)","(58, 2016)","(104, 2015)","(58, 2016)","(19, 2015)","(0, 2016)","(102, 2015)"
8,0.067,"(4, 2016)","(4, 2012)","(58, 2014)","(104, 2013)","(58, 2013)","(19, 2012)","(0, 2012)","(102, 2015)"
9,0.063,"(4, 2015)","(4, 2014)","(58, 2017)","(104, 2015)","(58, 2013)","(19, 2017)","(0, 2015)","(102, 2014)"
